"","gene","Expression_Score","Biology_Score","Druggability_Score","Complement_Evidence","Innate_Sensing_Evidence","Myeloid_Receptor_Evidence","Lupus_Evidence","Known_Target","AI_Target_Score","Target_Class","GWAS_Evidence","Novelty_Score","AI_Target_Score_v2"
"752","MT-ND1",0.120069320143332,0,0,0,0,0,0,0,-0.21188238228496,"Other",0,0,-0.21188238228496
"1338","AFTPH",0.119176440114263,0,0,0,0,0,0,0,-0.2119097525207,"Other",0,0,-0.2119097525207
"1472","MAP4K4",0.117718526770051,0,0,0,0,0,0,0,-0.211954443218913,"Other",0,0,-0.211954443218913
"1459","AZI2",0.117516493118668,0,0,0,0,0,0,0,-0.211960636333873,"Other",0,0,-0.211960636333873
"1431","SLC25A5",0.117166705339026,0,0,0,0,0,0,0,-0.211971358685898,"Other",0,0,-0.211971358685898
"1407","FXYD5",0.115607821568053,0,0,0,0,0,0,0,-0.212019144519284,"Other",0,0,-0.212019144519284
"1411","ARF3",0.114842142492516,0,0,0,0,0,0,0,-0.212042615552476,"Other",0,0,-0.212042615552476
"1419","FLI1",0.114809207826538,0,0,0,0,0,0,0,-0.212043625127718,"Other",0,0,-0.212043625127718
"1450","IREB2",0.11423618095119,0,0,0,0,0,0,0,-0.212061190623813,"Other",0,0,-0.212061190623813
"1367","CCL4",0.113152292732101,0,0,0,0,0,0,0,-0.212094416001363,"Other",0,0,-0.212094416001363
"1460","RAB18",0.113117004505188,0,0,0,0,0,0,0,-0.212095497722376,"Other",0,0,-0.212095497722376
"1389","EP300",0.11218397462049,0,0,0,0,0,0,0,-0.212124098706903,"Other",0,0,-0.212124098706903
"1479","TRAPPC1",0.112167256314194,0,0,0,0,0,0,0,-0.21212461118783,"Other",0,0,-0.21212461118783
"1457","BECN1",0.111897600605901,0,0,0,0,0,0,0,-0.212132877181092,"Other",0,0,-0.212132877181092
"1476","MRPL33",0.111821567833798,0,0,0,0,0,0,0,-0.212135207880435,"Other",0,0,-0.212135207880435
"1422","TMED5",0.111710795416489,0,0,0,0,0,0,0,-0.212138603484633,"Other",0,0,-0.212138603484633
"1380","IL4R",0.111139730650781,0,0,0,0,0,0,0,-0.212156108834457,"Other",0,0,-0.212156108834457
"1433","EI24",0.11087951582116,0,0,0,0,0,0,0,-0.212164085428174,"Other",0,0,-0.212164085428174
"1369","SSR1",0.110489260655893,0,0,0,0,0,0,0,-0.212176048262513,"Other",0,0,-0.212176048262513
"1381","TACC1",0.109842708260821,0,0,0,0,0,0,0,-0.212195867600941,"Other",0,0,-0.212195867600941
"1288","UBE2D3",0.109079846157218,0,0,0,0,0,0,0,-0.212219252283018,"Other",0,0,-0.212219252283018
"1477","BTBD7",0.108951342265761,0,0,0,0,0,0,0,-0.212223191425666,"Other",0,0,-0.212223191425666
"1467","KIAA0100",0.108278487372765,0,0,0,0,0,0,0,-0.212243817037664,"Other",0,0,-0.212243817037664
"1406","ZFP91",0.107682215304281,0,0,0,0,0,0,0,-0.21226209508908,"Other",0,0,-0.21226209508908
"1405","FKBP2",0.107488395611773,0,0,0,0,0,0,0,-0.212268036414345,"Other",0,0,-0.212268036414345
"1420","TBC1D23",0.107318575199722,0,0,0,0,0,0,0,-0.212273242068587,"Other",0,0,-0.212273242068587
"1398","ATP6V1G1",0.105141268868315,0,0,0,0,0,0,0,-0.212339984951873,"Other",0,0,-0.212339984951873
"1194","RPS9",0.105102630615558,0,0,0,0,0,0,0,-0.212341169364171,"Other",0,0,-0.212341169364171
"1461","PPCS",0.104508752407212,0,0,0,0,0,0,0,-0.212359374034489,"Other",0,0,-0.212359374034489
"824","MT-ND2",0.103056577431296,0,0,0,0,0,0,0,-0.212403888829459,"Other",0,0,-0.212403888829459
"1469","EMC7",0.101115660045974,0,0,0,0,0,0,0,-0.212463385474762,"Other",0,0,-0.212463385474762
"1382","MKNK2",0.100701743229924,0,0,0,0,0,0,0,-0.212476073630464,"Other",0,0,-0.212476073630464
"1386","U2AF1",0.100395857229115,0,0,0,0,0,0,0,-0.212485450222704,"Other",0,0,-0.212485450222704
"1478","POLR2E",0.0989561426405482,0,0,0,0,0,0,0,-0.212529583058477,"Other",0,0,-0.212529583058477
"1474","GTF2F1",0.0948583965346462,0,0,0,0,0,0,0,-0.212655194868876,"Other",0,0,-0.212655194868876
